stock_code,fiscal_year,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2
590,2022,0.5495322095042223,0.2781424718845277,-0.017719162394661737,-0.016089908001689794,-0.027478624709355685,-0.20091941001599942,0.1108868168246712,-0.08734431728334884,-0.023946949497965164,-0.077520799204752,-0.2781424718845277
590,2024,0.5491027247397543,0.25587014853461765,-0.028257403011861575,0.02661620381734558,0.01716248345915163,-0.17491417210760343,0.047336679501748885,-0.07056643630015115,-0.012558891900499816,-0.06304744049863953,-0.25587014853461765
640,2022,0.4873997122236141,0.14667900263720057,-0.09087880490248287,0.026455927042108873,0.14292558159390886,-0.17398129889145128,-0.07792412381951087,0.03278119146357147,-0.09993988146554778,0.01292867013672389,-0.14667900263720057
640,2023,0.49802338392737294,0.11534842691854998,-0.13290100597875226,0.013473068283639011,0.16349062005063394,-0.1861518444235943,-0.08662414168740828,0.035945745851364,-0.061978410977645775,0.03427559928056237,-0.11534842691854998
640,2024,0.46288291714855817,0.16117779974055652,-0.13743456557077546,0.008608619595837941,0.15376436129659482,-0.19601572458340738,-0.06872248752772929,0.022374899179639772,-0.03808583169841199,0.03847405261880207,-0.16117779974055652
650,2022,0.5375551699496609,0.3694732989454455,0.3091587374728377,-0.0427940556937862,-0.13862451828263314,-0.01403859433792831,-0.0190706036086069,0.004540800504467352,-0.018017891007848848,-0.10354306148986227,-0.3694732989454455
650,2023,0.5507960826369084,0.37685414743136847,0.2940543127964788,-0.059250301523749806,-0.15575113039507504,-0.03052717487908288,0.014870922495198918,0.009463799929036495,-0.01698784644970262,-0.1204945719795459,-0.37685414743136847
650,2024,0.5446798106240036,0.37062219942347363,0.3009677979242494,-0.038755480121412125,-0.12903894579675673,-0.010800698580696093,-0.00919047136036856,0.02974703111366799,-0.016671475160346307,-0.11995484455434247,-0.37062219942347363
660,2022,0.6037941331121619,-0.20777257083946982,0.08074575104401552,-0.23251199612067305,-0.07340618549451387,0.023606552772216526,-0.05983444292847997,-0.08707699927311977,0.0776768142700491,0.06322343306677983,0.20777257083946982
660,2023,0.6089563676801222,-0.18494085450645859,0.12233896925414932,-0.20594247761741505,-0.048908808866295395,0.056353121999931574,-0.09989408093507883,-0.1023774953850625,0.1035132727951352,0.04569923046728749,0.18494085450645859
660,2024,0.5798286009965835,-0.286834046699045,0.09087042020386324,-0.17859428460714352,-0.04736680655978053,0.09446543586166875,-0.12062569705730675,-0.13470765874109283,0.10039610365661909,-0.003173826166136422,0.286834046699045
670,2022,0.4421091944892,-0.39095224562330183,-0.06354972578133553,-0.05946436420743823,-0.07870412455092417,-0.05892391015562104,0.08711986950190545,0.0988854891270507,-0.10401435432427908,-0.03614823747835676,0.39095224562330183
670,2023,0.4311602801620425,-0.4003177203671552,-0.040352179235299726,-0.03434511931798234,-0.064666584046708,-0.07590980117485145,0.09166909516037207,0.05219137518722798,-0.13893945002382682,-0.025584975010926273,0.4003177203671552
670,2024,0.45543866656892035,-0.17167509109359824,0.027660417854345136,-0.026705078803608936,-0.04362249203414787,-0.10272304569037229,0.07407266029585433,0.09354140444554954,-0.01726863643282117,-0.05878462977543146,0.17167509109359824
680,2022,0.46262347087347105,0.007186890806995837,0.01497166978675923,-0.04501037230589115,0.018082858034119437,0.042791942967842916,0.08436990641751423,0.09093281907519803,0.01878030210162222,-0.06814214852594593,-0.007186890806995837
680,2023,0.5102234017390658,0.04874111540882596,0.04928615233701015,-0.07737782507094064,0.08829742913628266,0.08486138620015787,0.06303127624478709,0.12379513763375713,0.06638936674376239,-0.04074801420119546,-0.04874111540882596
680,2024,0.5031634608097553,0.055219515511666754,6.341628184751494e-05,-0.09487442826819052,0.10754822437717348,0.0882750727153145,0.11293845915431416,0.1291518378046239,0.02090869975960976,-0.058006424448116795,-0.055219515511666754
700,2022,0.5937044047209166,0.2554407628772567,0.07519399703638116,-0.09296643051620214,0.0358531182203322,0.02240727133641079,-0.00942051312281871,0.15834638472503282,-0.12770162962193904,-0.0020300597166821254,-0.2554407628772567
700,2023,0.5723446106674622,0.38006734077371174,0.13991475179857346,-0.06382722694653599,-0.003051957508889129,-0.019000766700034557,-0.004582160369013001,0.10781415309575726,-0.0758031362346979,-0.020478038994903896,-0.38006734077371174
720,2022,0.5768066231888945,-0.17742504977206644,-0.30344194209164377,0.10567145143552231,-0.0990360100919712,0.07981223360356807,-0.1380317978414038,0.004669135799312339,0.11160775169383864,0.01924338986554395,0.17742504977206644
720,2023,0.5886064417228847,-0.14800147684450812,-0.3489356089246031,0.05102148980265598,-0.09851013735931122,0.018253914621377928,-0.1356688036838828,-0.006712520121394237,0.07683153423368279,0.04044622424484169,0.14800147684450812
720,2024,0.5867700629628286,-0.23750447743503983,-0.24565492813924228,0.007511135941569554,-0.07396616302386985,0.10957785898255826,-0.08052842390622729,0.025377212887736724,0.07766170351388745,0.05322511697990177,0.23750447743503983
760,2022,0.417141164541868,0.2698298844558048,0.2033326003306047,-0.10732518001100363,-0.06373118520657668,-0.07041173236888978,-0.06746669443552006,-0.026132288434010123,-0.022949780737167497,0.13354945169297622,-0.2698298844558048
