company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
대한제분,1130,113243,2022,CFS,ok,1368170051431.0,43274283090.0,41343753991.0,1318431898542.0,399078814703.0,919353083839.0,비금융업
대한제분,1130,113243,2023,CFS,ok,1441458547512.0,54859482247.0,81242498761.0,1401353854060.0,407391972243.0,993961881817.0,비금융업
대한제분,1130,113243,2024,CFS,ok,1374735359151.0,72306706525.0,48829120223.0,1560462376675.0,523130128106.0,1037332248569.0,비금융업
동국제강,1230,114792,2022,CFS,ok,8511126283083.0,743493091943.0,425456163404.0,6451247796882.0,3164636526811.0,3286611270071.0,비금융업
동국제강,1230,114792,2023,CFS,ok,1841113699327.0,60062636095.0,231577736410.0,2421648337449.0,644335386070.0,1777312951379.0,비금융업
동국제강,1230,114792,2024,CFS,ok,1999426088314.0,58003101705.0,19652546713.0,2509278276042.0,729676090365.0,1779602185677.0,비금융업
동아쏘시오홀딩스,640,116824,2022,CFS,ok,1014860897959.0,37854827137.0,7835195645.0,1731452067203.0,732791277454.0,998660789749.0,비금융업
동아쏘시오홀딩스,640,116824,2023,CFS,ok,1132002860400.0,76881723048.0,55863039721.0,1957106350366.0,929797048609.0,1027309301757.0,비금융업
동아쏘시오홀딩스,640,116824,2024,CFS,ok,1333229636666.0,82094664924.0,57573399359.0,2030483787016.0,966546316740.0,1063937470276.0,비금융업
동양,1520,117337,2022,CFS,ok,767681537593.0,7924864990.0,9954374483.0,983550240798.0,200018245461.0,783531995337.0,비금융업
동양,1520,117337,2023,CFS,ok,866327008521.0,26548625914.0,18191365663.0,1099649987596.0,311407795194.0,788242192402.0,비금융업
동양,1520,117337,2024,CFS,ok,750408346536.0,-920616899.0,-74230237505.0,1316088357178.0,610910330680.0,705178026498.0,비금융업
동진쎄미켐,5290,118804,2022,CFS,ok,1457214808307.0,216308703354.0,156195316180.0,1374303530098.0,673516166268.0,700787363830.0,비금융업
동진쎄미켐,5290,118804,2023,CFS,ok,1309924437990.0,176174316058.0,123534360586.0,1606588027004.0,771106380233.0,835481646771.0,비금융업
동진쎄미켐,5290,118804,2024,CFS,ok,1408144175958.0,208225729660.0,143484559745.0,2016989003189.0,996558402618.0,1020430600571.0,비금융업
동화약품,20,119195,2022,CFS,ok,340426327300.0,29915077882.0,21591210925.0,461136459052.0,82463208091.0,378673250961.0,비금융업
동화약품,20,119195,2023,CFS,ok,361108562008.0,18775880121.0,28237045586.0,564972408621.0,157916042874.0,407056365747.0,비금융업
동화약품,20,119195,2024,CFS,ok,464874735245.0,13411192945.0,2146096510.0,619634925512.0,217959805338.0,401675120174.0,비금융업
두산,150,117212,2022,CFS,ok,16995760103010.0,1126028726422.0,-581168717784.0,26315352623211.0,16017536857154.0,10297815766057.0,비금융업
두산,150,117212,2023,CFS,ok,19130129881903.0,1436262204451.0,272073643932.0,28286808651585.0,17080070105878.0,11206738545707.0,비금융업
두산,150,117212,2024,CFS,ok,18132874000000.0,1003759000000.0,302227000000.0,30143063000000.0,18253581000000.0,11889482000000.0,비금융업
디아이동일,1530,118345,2022,CFS,ok,913722865510.0,44754402506.0,57491368300.0,1000282518406.0,381086723056.0,619195795350.0,비금융업
디아이동일,1530,118345,2023,CFS,ok,682872127202.0,6304538045.0,5995805541.0,975653234729.0,370119040311.0,605534194418.0,비금융업
디아이동일,1530,118345,2024,CFS,ok,651725598894.0,7810548526.0,2502884010.0,1013743449745.0,449411248598.0,564332201147.0,비금융업
롯데케미칼,11170,165413,2022,CFS,ok,22276082763692.0,-762606983916.0,27820456953.0,26784587810580.0,9520345523797.0,17264242286783.0,비금융업
롯데케미칼,11170,165413,2023,CFS,ok,19946396629902.0,-347702499473.0,-39243085252.0,33476310224541.0,13243769644688.0,20232540579853.0,비금융업
롯데케미칼,11170,165413,2024,CFS,ok,20430375565357.0,-894081004428.0,-1825555752135.0,34552330375053.0,14564385612175.0,19987944762878.0,비금융업
만호제강,1080,120872,2022,CFS,ok,253705017361.0,209474421.0,6363937483.0,257003015078.0,25657000048.0,231346015030.0,비금융업
만호제강,1080,120872,2023,CFS,ok,213296308408.0,-7441418493.0,8988679029.0,279981666833.0,22325402295.0,257656264538.0,비금융업
만호제강,1080,120872,2024,CFS,ok,179904428905.0,-30795040915.0,-44354713749.0,204811085193.0,25735878225.0,179075206968.0,비금융업
백광산업,1340,122472,2022,CFS,ok,232725146826.0,28274340213.0,22702656071.0,404267600510.0,194591585576.0,209676014934.0,비금융업
