company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
SK이노베이션,96770,631518,2024,CFS,ok,74716970174000.0,315488338000.0,-2372482956000.0,110530097549000.0,70881188555000.0,39648908994000.0,비금융업
SK하이닉스,660,164779,2022,CFS,ok,44621568000000.0,6809417000000.0,2241669000000.0,103871512000000.0,40580970000000.0,63290542000000.0,비금융업
SK하이닉스,660,164779,2023,CFS,ok,32765719000000.0,-7730313000000.0,-9137547000000.0,100330165000000.0,46826413000000.0,53503752000000.0,비금융업
SK하이닉스,660,164779,2024,CFS,ok,66192960000000.0,23467319000000.0,19796902000000.0,119855209000000.0,45939505000000.0,73915704000000.0,비금융업
SPC삼립,5610,125530,2022,CFS,ok,3314547280509.0,89513471496.0,53236796550.0,1295399585606.0,906290707171.0,389108878435.0,비금융업
SPC삼립,5610,125530,2023,CFS,ok,3433322296454.0,91734322533.0,50228465295.0,1293732304548.0,874719614690.0,419012689858.0,비금융업
SPC삼립,5610,125530,2024,CFS,ok,3427920218534.0,94968717963.0,86491702785.0,1240796531981.0,760966764852.0,479829767129.0,비금융업
가온전선,500,104768,2022,CFS,ok,1416454404337.0,28462568691.0,10463889335.0,752332445010.0,449261889191.0,303070555819.0,비금융업
가온전선,500,104768,2023,CFS,ok,1498606544413.0,43720038993.0,17898342263.0,801805532215.0,470794089215.0,331011443000.0,비금융업
가온전선,500,104768,2024,CFS,ok,1727103680000.0,45011778000.0,25355195000.0,1042884426000.0,589179383000.0,453705043000.0,비금융업
강남제비스코,860,100939,2022,CFS,ok,673166188482.0,4405118561.0,11666578220.0,957791314832.0,278945532072.0,678845782760.0,비금융업
강남제비스코,860,100939,2023,CFS,ok,638789180998.0,23167970906.0,21726050379.0,985686727233.0,293589356337.0,692097370896.0,비금융업
강남제비스코,860,100939,2024,CFS,ok,643137092555.0,20529999372.0,18123152497.0,969739160656.0,264762207818.0,704976952838.0,비금융업
경방,50,101628,2022,CFS,ok,389227582838.0,31895306272.0,4415249761.0,1248318313535.0,493309854178.0,755008459357.0,비금융업
경방,50,101628,2023,CFS,ok,393518958996.0,15968826403.0,-13452219151.0,1206860950940.0,468815407005.0,738045543935.0,비금융업
경방,50,101628,2024,CFS,ok,397276756397.0,33449462550.0,23594327570.0,1214347475924.0,454721013440.0,759626462484.0,비금융업
고려아연,10130,102858,2022,CFS,ok,11219358600107.0,919171130822.0,798264387415.0,12097918358974.0,2866186242426.0,9231732116548.0,비금융업
고려아연,10130,102858,2023,CFS,ok,9704521343024.0,659935424598.0,533378688122.0,12046071311650.0,2404068442780.0,9642002868870.0,비금융업
고려아연,10130,102858,2024,CFS,ok,12052918410249.0,723472208523.0,194781564506.0,14792322181548.0,7196894404555.0,7595427776993.0,비금융업
