stock_code,fiscal_year,E_seed,S_seed,G_seed,ESG_seed_index,E_seed_norm,S_seed_norm,G_seed_norm,ESG_seed_norm,E_seed_log,S_seed_log,G_seed_log,ESG_seed_log,text_length,induty_code,induty_name,E_intensive,E_ratio,S_ratio,G_ratio,E_seed_win,S_seed_win,G_seed_win,E_seed_norm_log,S_seed_norm_log,G_seed_norm_log,ESG_seed_norm_log,E_industry_z,S_industry_z,G_industry_z,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2,low_token_flag,esg_grade,e_grade,s_grade,g_grade,esg_year,company_name,esg_numeric,e_numeric,s_numeric,g_numeric,neg_KRFPC1,KRFPC2,E_finbert,S_finbert,G_finbert,X_finbert
001470,2023,6,7,36,49,2.3631350925561243,2.7569909413154785,14.178810555336746,19.29893658920835,1.9459101490553132,2.0794415416798357,3.610917912644224,3.912023005428146,2539,41221,종합건설,0,0.1224489795918367,0.1428571428571428,0.7346938775510204,6,7.0,36,1.2128736022029276,1.3236183554405296,2.7199004128590665,3.01056849990755,-0.5979096394188281,0.2192378422932274,1.276803059186309,0.5546439497243354,0.0834587395129253,0.0338133054240951,0.1268101554916628,-0.0235651887419251,-0.1122286717316483,0.0756895639625268,-0.1656861207663841,-0.0208968813009127,-0.074685602488556,-0.0834587395129253,0,C,C,C,C,2023,삼부토건,1,1,1,1,-0.4920275133797043,0.3901255136145571,0.0375110408585633,0.0817196535147335,0.2645972728509071,0.113113359269767
001470,2024,6,9,26,41,2.5940337224383914,3.891050583657587,11.24081279723303,17.725897103329007,1.9459101490553132,2.302585092994046,3.295836866004329,3.737669618283368,2313,41221,종합건설,0,0.1463414634146341,0.2195121951219512,0.6341463414634146,6,9.0,26,1.2792751712996489,1.5874071236950276,2.504775679882164,2.929907437645732,-0.5365163235214633,1.677765793174914,0.5173149714386632,0.5069019418563138,0.0391103310227843,0.0550171081432579,0.0832044699267807,-0.0142860342961951,-0.1100851340658916,0.0148312626702431,-0.2005534843947476,-0.0222163071145877,-0.0566146611339299,-0.0391103310227843,0,D,C,C,D,2024,삼부토건,0,1,1,0,-0.361212139283772,0.3630351100921519,0.0410312492579881,0.1032223576237609,0.2593061755857585,0.0486268093118269
001500,2022,1,0,49,50,0.3700962250185048,0.0,18.134715025906736,18.50481125092524,0.6931471805599453,0.0,3.912023005428146,3.9318256327243257,2702,66121,금융보조,0,0.02,0.0,0.98,1,0.0,49,0.3148809746132986,0.0,2.951504225947678,2.970661165953338,0.3661223917984889,-1.3936376642865995,0.2645113538108055,0.5078307747021782,0.3164446244138452,-0.2954270458022942,-0.1674025284130439,-0.0354015495239783,-0.0249254914210014,0.1136853543953499,0.0136116752133242,-0.009965437002678,0.011428552671479,-0.3164446244138452,0,A,B+,A+,B+,2022,현대차증권,4,3,5,3,-1.510266557458573,0.9287235218302704,0.0241465220654693,0.0270723822019742,0.4176447493664454,0.0110537823663131
001500,2023,1,0,46,47,0.3673769287288758,0.0,16.899338721528288,17.266715650257165,0.6931471805599453,0.0,3.8501476017100584,3.871201010907891,2722,66121,금융보조,0,0.0212765957446808,0.0,0.9787234042553192,1,0.0,46,0.3128942539907846,0.0,2.8847637692329218,2.905080586865686,0.3571268119534462,-1.3936376642865995,-0.0192094271934589,0.4964672955861615,0.2873581226178509,-0.337728414281343,-0.1746234975366967,-0.0204837274160697,-0.0373244180423905,0.1104674894207971,0.0014764937299831,-0.0147395062481492,0.0122088631498542,-0.2873581226178509,0,A,B+,A+,B+,2023,현대차증권,4,3,5,3,-1.314976551569935,0.9208366715035669,0.0115348468834122,0.0380884890488443,0.3925417462318285,0.0660465080822494
001500,2024,1,0,51,52,0.3118178983473652,0.0,15.902712815715622,16.214530714062988,0.6931471805599453,0.0,3.951243718581427,3.970291913552122,3207,66121,금융보조,0,0.0192307692307692,0.0,0.9807692307692308,1,0.0,51,0.271413883897366,0.0,2.8274741306867854,2.8457538361263244,0.1733345213464469,-1.3936376642865995,-0.2480979685747978,0.5093796910867204,0.2659489815747216,-0.3524932784629014,-0.144088597713648,-0.0469592801512263,-0.0481472427065496,0.1021567995829728,0.0011573803325345,0.0077812506487467,0.019737110820885,-0.2659489815747216,0,B+,A,A,B+,2024,현대차증권,3,4,4,3,-1.2597344461961102,1.0339437681559571,0.0265088617161382,0.04412108831385,0.3721270990790799,0.0438559625806562
001510,2022,5,19,72,96,0.7396449704142012,2.8106508875739644,10.650887573964498,14.201183431952662,1.791759469228055,2.995732273553991,4.290459441148391,4.574710978503383,6760,66121,금융보조,0,0.0520833333333333,0.1979166666666666,0.75,5,19.0,72,0.5536810524156082,1.3378000111812802,2.455382363716052,2.72137328218681,1.5886097163760766,0.6700341731146134,-1.454250259181687,0.5496455879039873,0.2282081111758985,-0.4338180640980589,-0.1271597548833397,0.1584603609032339,0.0030652890805238,0.0392793444165055,0.0735211907543003,-0.0523815134881014,-0.0486276115104297,-0.2282081111758985,0,B+,C,B+,B+,2022,SK증권,3,1,3,3,-0.366127981853622,0.9052539132864004,0.0188548296771401,0.072017052834222,0.3405319553783948,0.0463204348725768
001510,2023,4,16,71,91,0.6552006552006552,2.6208026208026207,11.629811629811629,14.905814905814903,1.6094379124341005,2.833213344056216,4.276666119016055,4.5217885770490405,6105,66121,금융보조,0,0.0439560439560439,0.1758241758241758,0.7802197802197802,4,16.0,71,0.5039222432929163,1.2866957197155384,2.536060021746952,2.7666847597147464,1.309263334424061,0.5306413644070096,-1.229427185690287,0.526049419151681,0.2412702641238324,-0.429936918991355,-0.1157398523670193,0.2290927781317013,0.0189998417243891,0.080427217413398,0.0868507067684349,-0.0759524897203983,-0.0365010180858234,-0.2412702641238324,0,B+,B,B+,B+,2023,SK증권,3,2,3,3,-0.4329618306661592,0.8477245235930266,0.0167563415839666,0.0539255524513495,0.3816178349231023,0.0247186481345644
001510,2024,5,20,63,88,0.8866820358219543,3.546728143287817,11.172193651356624,15.605603830466396,1.791759469228055,3.044522437723423,4.1588830833596715,4.48863636973214,5639,66121,금융보조,0,0.0568181818181818,0.2272727272727272,0.7159090909090909,5,20.0,63,0.634819749709184,1.5144078849067812,2.4991541414839675,2.8097402185437175,2.075016316164677,1.2104861764153168,-1.3345253082531692,0.5600023208115683,0.2596093634221225,-0.3840204893202722,-0.1090032019880027,0.1416176626539091,0.0234656160091895,-0.031309750215665,0.0413154090768108,-0.0484965780261967,0.0167625097626793,-0.2596093634221225,0,B+,A,B+,B+,2024,SK증권,3,4,3,3,-0.4042011222105026,0.9216194719362992,0.0263447707599949,0.0517867192742925,0.3309345010871256,0.1037365215178987
001520,2022,14,8,27,49,6.110868616324749,3.4919249236141425,11.78524661719773,21.388040157136626,2.70805020110221,2.1972245773362196,3.332204510175204,3.912023005428146,2291,23322,비금속광물제품,1,0.2857142857142857,0.1632653061224489,0.5510204081632653,14,8.0,27,1.9616244046126736,1.5022813233825962,2.54829189813065,3.108526894717724,0.9901710214504842,0.8467880046001388,-0.2425722097527169,0.6259913911007579,-0.1096252863209824,0.1938988088697468,-0.0583699728335765,0.021891869667484,0.0103297939997944,-0.0707027961888642,-0.0308402486531882,0.0087060347573548,0.0273967556757434,0.1096252863209824,0,D,D,D,C,2022,동양,0,0,0,1,0.3351919037487366,-0.2742577108563968,0.1323359334637643,0.0274201748958148,0.2092519043435459,0.1022278629257925
001520,2023,13,9,33,55,5.293159609120521,3.6644951140065145,13.436482084690557,22.39413680781759,2.6390573296152584,2.302585092994046,3.5263605246161616,4.02535169073515,2456,23322,비금속광물제품,1,0.2363636363636363,0.1636363636363636,0.6,13,9.0,33,1.8394632671852664,1.5399795999333938,2.669758480839923,3.152485427198831,0.6638957321095408,0.9919505153768484,-0.0205502327633748,0.6638126656107189,-0.0509814423685717,0.2642784242474114,-0.0551316735315654,0.0412389633373751,-0.0275321719914569,-0.0830103917883166,0.0109351892677509,0.0346043709989977,0.0067678743023997,0.0509814423685717,0,D,D,D,C,2023,동양,0,0,0,1,0.1391274636623966,-0.3849961036112286,0.1107368866395325,0.0603740449133152,0.2135454955430098,0.0595762266695435
001520,2024,11,8,41,60,4.856512141280353,3.532008830022075,18.101545253863133,26.490066225165563,2.4849066497880004,2.1972245773362196,3.737669618283368,4.110873864173311,2265,23322,비금속광물제품,1,0.1833333333333333,0.1333333333333333,0.6833333333333333,11,8.0,41,1.7675542286547057,1.5111652915358995,2.949769235123705,3.3138247112381145,0.4896683753672676,0.8805057659509503,0.6067052786340997,0.6556691793676452,-0.0380521649169968,0.2596157556473286,-0.0153650369323987,0.0077258322487748,-0.0427874182171589,0.005184417661194,0.0534089528246506,0.0503666772830035,-0.0199053928829606,0.0380521649169968,0,C,B,B,C,2024,동양,1,2,2,1,-0.1640286443562597,-0.3770318873044287,0.1140626199480648,0.0643260233771307,0.2106827492347552,0.0434685721646972
001530,2022,4,2,11,17,4.550625711035267,2.2753128555176336,12.514220705346984,19.34015927189989,1.6094379124341005,1.0986122886681098,2.4849066497880004,2.8903717578961645,879,46103,도매,0,0.2352941176470588,0.1176470588235294,0.6470588235294118,4,2.0,11,1.71391066213066,1.1864133929269989,2.6037425166043624,3.012597221066643,0.7209481086819842,-0.1563679547653687,-0.3899371069770288,0.4288530313557174,-0.0171664181820715,0.1056792375059091,-0.0037192025490445,-0.1775338705492111,-0.143146277628191,0.0881742832998632,-0.1489259357547719,-0.0882201461434773,-0.101198032406564,0.0171664181820715,0,D,D,C,C,2022,디아이동일,0,0,1,1,-0.1283396121506358,0.4978049546811756,0.1191314800019393,0.0327848115492896,0.1925073865859303,0.1592363471831454
001530,2023,2,0,9,11,4.056795131845842,0.0,18.255578093306287,22.31237322515213,1.0986122886681098,0.0,2.302585092994046,2.4849066497880004,493,46103,도매,0,0.1818181818181818,0.0,0.8181818181818182,2,0.0,9,1.6207329094808678,0.0,2.9578007898391085,3.1489842593260686,0.5016379636819597,-1.6749088803759928,0.480243245000313,0.4235251619776468,0.0812924058186597,0.155962626702972,-0.0485298340728223,-0.1996735997355888,-0.0565376570674352,0.0394202068671345,-0.1656982126310495,-0.0543840064500663,-0.0025972942873633,-0.0812924058186597,0,D,D,D,C,2023,디아이동일,0,0,0,1,-0.7104140276165357,0.0721569039854222,0.1114607769979759,0.0031918488142158,0.3272608562159197,0.0015203938237391
001530,2024,2,1,8,11,3.007518796992481,1.5037593984962403,12.030075187969924,16.541353383458645,1.0986122886681098,0.6931471805599453,2.1972245773362196,2.4849066497880004,665,46103,도매,0,0.1818181818181818,0.0909090909090909,0.7272727272727273,2,1.0,8,1.3881722959440908,0.91779336175869,2.567260161493852,2.8645611437996763,0.0356543757083283,-0.6713017573596481,-0.4633159071894933,0.4357618564039086,0.0109469279375823,0.1552385016899644,0.0192005372160904,-0.1343600186325347,-0.1104725299508656,0.0707515084435503,-0.1735474634115244,-0.0193484583580735,-0.067432368092336,-0.0109469279375823,0,D,D,D,C,2024,디아이동일,0,0,0,1,0.0619489393403287,-0.1408105436226941,0.1117540810616143,0.0510267330496895,0.2492909819751124,0.0130755595697943
001560,2022,1,1,22,24,0.970873786407767,0.970873786407767,21.359223300970875,23.300970873786408,0.6931471805599453,0.6931471805599453,3.1354942159291497,3.218875824868201,1030,23992,비금속광물제품,1,0.0416666666666666,0.0416666666666666,0.9166666666666666,1,1.0,22,0.6784769908121515,0.6784769908121515,3.1072389115910495,3.190516303202138,-1.0607459741639,-1.2738685933978706,1.0447264661948508,0.3851357267105182,0.1446587233748678,0.0456342909531497,-0.0026963690706321,-0.2587748726833989,-0.1183755433049512,0.1360374401596538,-0.1801765906080957,0.1430874336982334,0.2870813398014791,-0.1446587233748678,0,C,D,D,B+,2022,제일연마,1,0,0,3,-1.875433607719755,-0.1523373505100337,0.0138916857965038,0.0458709771798263,0.370592396990105,0.0795272028990439
