stock_code,fiscal_year,assets,debt,income
001340,2024,464295668847.0,464295668847.0,3600645965.0
001360,2022,,,
001360,2023,,,
001360,2024,,,
001380,2022,185935448420.0,64775255814.0,-2445648212.0
001380,2023,198246797314.0,198246797314.0,20175100732.0
001380,2024,199881677024.0,199881677024.0,6316098065.0
001420,2022,,,
001420,2023,,,
001420,2024,,,
001470,2022,498726793527.0,308796987564.0,-90441647309.0
001470,2023,513742450417.0,513742450417.0,-111007774067.0
001470,2024,300331502195.0,300331502195.0,-127766951618.0
001530,2022,1000282518406.0,381086723056.0,57491368300.0
001530,2023,975653234729.0,975653234729.0,5995805541.0
001530,2024,1013743449745.0,449411248598.0,2502884010.0
