stock_code,fiscal_year,Climate Change,Natural Capital,Pollution & Waste,Human Capital,Product Liability,Community Relations,Corporate Governance,Business Ethics & Values,Non-ESG,E_finbert,S_finbert,G_finbert,X_finbert
000400,2024,0.03665284377833208,0.007461254484951496,0.00396436161827296,0.03523857705295086,0.010890844898919264,0.3576402432906131,0.2639259446101884,0.2607981612284978,0.023427789254734915,0.016026153293852177,0.13458988841416109,0.2623620529193431,0.023427789254734915
000430,2022,0.0033526555590259913,0.0021827690473471125,0.00482392609746267,0.23593470299741826,0.07599416452956995,0.07493861396617901,0.3755265628032458,0.1577957328140306,0.06945085560661167,0.0034531169012785913,0.12895582716438908,0.2666611478086382,0.06945085560661167
000430,2023,0.0034591553994687274,0.002283481711250109,0.00507141789906503,0.24778537346962062,0.08222283646925159,0.08071838471611652,0.3335441467788769,0.16979644716290446,0.07511874856087768,0.003604685003261289,0.13690886488499623,0.25167029697089066,0.07511874856087768
000430,2024,0.0028627086088390034,0.0024089036297107883,0.004308892605716691,0.2950181449414231,0.0612941852733082,0.060431122502503806,0.2613388703526546,0.201174334718791,0.1111628211219795,0.0031935016147554944,0.13891448423907837,0.23125660253572278,0.1111628211219795
000480,2022,0.032022318088407206,0.010277847084745934,0.01317617320720191,0.03402902748414569,0.11292966693608006,0.13335412970098498,0.546080116648227,0.027614344112490388,0.09051635832028379,0.01849211279345168,0.09343760804040357,0.2868472303803587,0.09051635832028379
000480,2023,0.034329813104704954,0.012134282536862884,0.016483960585901514,0.04959618461725768,0.0835929611348547,0.20092526110965991,0.5227348377666203,0.06314836686942726,0.01705427929846337,0.02098268540915645,0.1113714689539241,0.2929416023180238,0.01705427929846337
000480,2024,0.05894365896321168,0.009838313153263048,0.04495135682269132,0.04832458318976153,0.049096087871086116,0.12781066230257107,0.5436739337830139,0.031713166166030406,0.08564823060545937,0.037911109646388684,0.07507711112113957,0.2876935499745221,0.08564823060545937
000490,2022,0.11391824437952083,0.0047559302765876055,0.10606119101996431,0.02259316968653972,0.10018756444656497,0.10761715153542657,0.4290035934666068,0.11099855963321817,0.00486457997532044,0.07491178855869092,0.07679929522284375,0.2700010765499125,0.00486457997532044
000490,2023,0.1460007486801425,0.013792260589649562,0.1730520156508481,0.03843687055103311,0.09134452873893845,0.03685003892645578,0.3508828449306417,0.14308705247557638,0.006553624018455263,0.11094834164021339,0.055543812738809116,0.24698494870310905,0.006553624018455263
000490,2024,0.012333824553934392,0.04568613073691571,0.22449680236847294,0.037497742188861594,0.08802170406609851,0.04958586315236365,0.40536092938661267,0.13244920347157554,0.004567784708342515,0.09417225255310768,0.058368436469107915,0.2689050664290941,0.004567784708342515
000500,2022,0.21815330647708228,0.00927713079484723,0.008583715139441969,0.012795602863964936,0.06224466566224388,0.2169087865598461,0.1664201822616936,0.008290739172177078,0.29732585487848456,0.07867138413712384,0.09731635169535165,0.08735546071693534,0.29732585487848456
000500,2023,0.17746914447440457,0.007739789087402945,0.00779588613853169,0.07238438687442492,0.04633530718177402,0.18234092034981586,0.2351264296953256,0.017109522184667488,0.25369859937345607,0.06433493990011306,0.10035353813533826,0.12611797593999655,0.25369859937345607
000500,2024,0.18010902019838493,0.00831451509341908,0.008080399209090199,0.0740853186774378,0.04999765940689637,0.2093171958869789,0.2729245531450336,0.018480332902011773,0.17869099382078274,0.06550131150029807,0.11113339132377102,0.1457024430235227,0.17869099382078274
000520,2022,0.0051098781492328275,0.0012531972926808522,0.0016174854681594297,0.10335227313917131,0.003291737483232282,0.023400155414128675,0.7827735496801325,0.024134528322611003,0.05506719250115566,0.0026601869700243696,0.043348055345510755,0.4034540390013717,0.05506719250115566
000520,2023,0.0051098781492328275,0.0012531972926808522,0.0016174854681594297,0.10335227313917131,0.003291737483232282,0.023400155414128675,0.7827735496801325,0.024134528322611003,0.05506719250115566,0.0026601869700243696,0.043348055345510755,0.4034540390013717,0.05506719250115566
000520,2024,0.010621994429675397,0.0015546467708190902,0.0028401273346389646,0.08253267265390604,0.005966927650297294,0.013222787692211569,0.6585436997294891,0.01851652295445092,0.20620061503868783,0.00500558951171115,0.033907462665471635,0.33853011134197003,0.20620061503868783
000540,2022,0.014215071590465063,0.005107671784151955,0.010931159953962868,0.11068673259041344,0.03152663133257123,0.0501727321970975,0.5649942835040677,0.1274413035134785,0.08492438966193451,0.01008463444285996,0.06412869870669406,0.3462177935087731,0.08492438966193451
000540,2023,0.0035817609724207696,0.0009860684063327922,0.0027012835013341496,0.18658907306168906,0.007702960624804043,0.003045503875579346,0.626346948985222,0.007387893877669491,0.16165850006985816,0.0024230376266959042,0.06577917918735748,0.31686742143144575,0.16165850006985816
000540,2024,0.002580532008626809,0.002839534588727272,0.00914976472267881,0.13655637136738127,0.03392801308978556,0.03865898111123695,0.764205275168125,0.008801306610823505,0.0032802184384005764,0.004856610440010963,0.06971445518946794,0.3865032908894742,0.0032802184384005764
000590,2022,0.004272353991506283,0.0014124676474073733,0.04422620812494477,0.003475760448385369,0.0025055032906080173,0.00358746633653275,0.8887211020019922,0.013100039700723508,0.03869905962016095,0.016637009921286142,0.0031895766918420454,0.45091057085135783,0.03869905962016095
000590,2024,0.006332738486393778,0.0017374124912418085,0.04448552325960587,0.0032909218306568537,0.004062975029228255,0.010390258918050677,0.805689447390085,0.013327604604207656,0.11068306883945214,0.017518558079080485,0.005914718592645262,0.4095085259971463,0.11068306883945214
000640,2022,0.03933583205798641,0.07433342813552977,0.003924935272273918,0.04975422220304608,0.17751834616647102,0.09812648229417391,0.42041439103583494,0.12314009858140101,0.013452295951234797,0.03919806515526337,0.10846635022123034,0.271777244808618,0.013452295951234797
000640,2023,0.04517923829916981,0.06804458163423988,0.009203042562148767,0.060145588700834196,0.1029468170072505,0.07058129437245952,0.4359734707904863,0.11416126062249532,0.09376473349766457,0.04080895416518615,0.0778912333601814,0.2750673657064908,0.09376473349766457
000640,2024,0.006644375144138134,0.003266365352569015,0.002506876493238711,0.03336045703118933,0.09241453396680299,0.06035618683381472,0.5916717870027891,0.07431356340280867,0.13546587267774157,0.004139205663315287,0.06204372594393568,0.3329926752027989,0.13546587267774157
