stock_code,fiscal_year,E_consistency,G_consistency,S_consistency,ESG_consistency,E_greenwash_flag,G_greenwash_flag,S_greenwash_flag,z_E_intensity,z_E_content,z_E_semantic,z_G_intensity,z_G_content,z_G_semantic,z_S_intensity,z_S_content,z_S_semantic
000270,2024,-0.26108987628100755,-0.44697575846930543,-0.394502046017506,-0.3675225602559396,0,0,0,1.0204603798152954,0.8968043281377139,0.5192741218333833,0.2371764704310214,0.7419048220382819,1.128523395837875,0.10804022462650424,0.8968043281377139,0.5192741218333833
000320,2022,-0.4421708017075895,-0.17913789065400149,-1.3336938656375898,-0.6516675193330602,0,0,1,-0.4976100894361427,0.3302946009321469,0.18555485091739057,-0.3425143742062832,-0.4421833599541688,-0.09432081208558997,2.564546885120388,0.3302946009321469,0.18555485091739057
000320,2023,-0.41527929838862,-0.193781270057889,-1.4411221329655268,-0.683394233804012,0,0,1,-0.47239450384197945,0.3570433681110471,-0.02032186071397393,-0.2732913001531647,-0.589816195979908,-0.23787221921789392,2.6429709491484603,0.3570433681110471,-0.02032186071397393
000320,2024,-0.4650410616009489,-0.2279515396461959,-1.4407014753227747,-0.7112313588566398,0,0,1,-0.5207118769882694,0.4055540703174364,0.015312200862628517,-0.40704420457137075,-0.5424674025758836,-0.09775297684299561,2.6828096614220045,0.4055540703174364,0.015312200862628517
000370,2022,-0.44310550617451144,-1.3113317789893897,-0.5485079711126791,-0.76764841875886,0,1,0,-1.2641618509404342,-0.37795245028226704,-0.8195934411698562,0.1524825752010365,-1.9463127504591184,0.4650932601804524,0.2708809564087554,-0.37795245028226704,-0.8195934411698562
000370,2023,-0.2304379113997413,-0.7295758652054196,-0.6834640429320908,-0.5478259398457506,0,0,0,-1.2641618509404342,-0.8147203375591926,-0.9510859157484406,0.14852341105500744,-1.0195184079363873,0.32186738131421744,0.2949859240453868,-0.8147203375591926,-0.9510859157484406
000370,2024,-0.30561962564990763,-1.1588445387692314,-0.2595769985496368,-0.5746803876562586,0,1,0,-1.2641618509404342,-0.653796149347758,-0.9872694488261007,0.2922872943683894,-1.4104928583156917,0.8025751567566131,-0.47594997387739413,-0.653796149347758,-0.9872694488261007
000390,2022,-0.24434364589847152,-0.8212848530965218,-0.679265361485162,-0.5816312868267185,0,0,0,-0.13469224211819691,0.3410422700574599,0.1999683883121726,-0.6252523619388605,0.8914550991124565,-0.4129987028019328,1.4406668196884522,0.3410422700574599,0.1999683883121726
000390,2023,-0.29236169800858,-0.5997111567123552,-0.804438377481089,-0.5655037440673414,0,0,0,0.16301081544514462,0.7201887684782452,0.595192219762558,-1.075862320900401,0.049061046601909276,-0.15302447618509463,2.0468071942576134,0.7201887684782452,0.595192219762558
000390,2024,-0.31766388861422007,-0.5903369142891662,-0.6790229850173162,-0.5290079293069009,0,0,0,0.21829907605293597,0.734372097576838,0.7972444768910508,-1.3882747779971052,-0.235565053630186,-0.5907000350844964,1.9406495277788132,0.734372097576838,0.7972444768910508
000400,2022,-1.2822035830173677,-1.443501134204494,-2.1206595857418598,-1.6154547676545736,0,0,1,-1.2641618509404342,0.1678905560864874,1.294161156172823,-4.184950317558723,-4.138588139338841,-1.6618743337238033,4.2722441687068935,0.1678905560864874,1.294161156172823
000400,2023,-0.11801596104356167,-1.2021082067814537,-0.43022246464670605,-0.5834488774905738,0,1,0,-1.2641618509404342,-1.030078363886692,-1.12090957518553,0.9098658538854812,-1.1396352325573118,0.9736241048115297,-0.33449034231789815,-1.030078363886692,-1.12090957518553
000400,2024,-0.6075820306748466,-2.8003143560883923,-1.0512117623738184,-1.4863693830456857,0,1,0,-1.2641618509404342,-0.25666883233280624,-1.348791186730195,2.0286479445461185,-3.2906840734771095,0.8868131647128179,-2.3585545755826787,-0.25666883233280624,-1.348791186730195
000430,2022,-0.6568156049190794,-0.9378860623289567,-1.0516201187741647,-0.8821072620074002,0,0,1,-1.2641618509404342,-0.5854370926696993,0.049222983520475695,0.8743731119411287,-0.9173355936787555,0.45937812878845624,1.4684468787656328,-0.5854370926696993,0.049222983520475695
000430,2023,-0.38713555271407246,-1.067902942862639,-1.0629461693059679,-0.8393282216275598,0,0,1,-1.2641618509404342,-0.5763760683175754,-0.6123162904701106,0.9496756631892873,-1.0708721719251735,0.5388097207498004,1.2464674727313287,-0.5763760683175754,-0.6123162904701106
