stock_code,company_name,fiscal_year,corp_code,CAPEX
000250,삼천당제약,2022,00128546,16531416924.0
000250,삼천당제약,2023,00128546,6765880596.0
000250,삼천당제약,2024,00128546,17022405665.0
000650,천일고속,2022,00151395,13282720.0
000650,천일고속,2023,00151395,2551053474.0
000650,천일고속,2024,00151395,2787023691.0
000760,이화산업,2022,00145686,200103581.0
000760,이화산업,2023,00145686,762212051.0
000760,이화산업,2024,00145686,149561619.0
000890,보해양조,2022,00123541,4402397979.0
000890,보해양조,2023,00123541,3970824755.0
000890,보해양조,2024,00123541,3812579957.0
000950,전방,2022,00147222,894037980.0
000950,전방,2023,00147222,259314555.0
000950,전방,2024,00147222,896319787.0
000970,한국주철관공업,2022,00159573,3797682317.0
